System Number	$b	$j
015742787	HMNTS	lsidyv317b2ec4
015742788	HMNTS	lsidyv3b55a364
015742789	HMNTS	lsidyv38aed1c2
015742790	HMNTS	lsidyv3bb8ffc3
015742791	HMNTS	lsidyv3bb9770d
015742792	HMNTS	lsidyv3bb98ccd
015742793	HMNTS	lsidyv3e6eee2d
015742794	HMNTS	lsidyv3bb98917
015742795	HMNTS	lsidyv2eb0dfc5
015742796	HMNTS	lsidyv389e8f7e
015742797	HMNTS	lsidyv3895ed11
015742798	HMNTS	lsidyv3d91c66c
015742799	HMNTS	lsidyv39738a69
015742800	HMNTS	lsidyv3bb99be3
015742801	HMNTS	lsidyv389e065a
015742802	HMNTS	lsidyv3077f7c2
015742803	HMNTS	lsidyv395b4e37
015742804	HMNTS	lsidyv3e604681
015742805	HMNTS	lsidyv385de52f
015742806	HMNTS	lsidyv38ae8905
015742807	HMNTS	lsidyv38a20aa7
015742808	HMNTS	lsidyv38a36cfc
015742809	HMNTS	lsidyv389e6e64
015742810	HMNTS	lsidyv385e7685
015742811	HMNTS	lsidyv38959358
015742812	HMNTS	lsidyv381dd5cd
015742813	HMNTS	lsidyv3e70d2e0
015742814	HMNTS	lsidyv3e6d76d0
015742815	HMNTS	lsidyv3e6b3e86
015742816	HMNTS	lsidyv3e6e0d66
015742817	HMNTS	lsidyv385bc46a
015742818	HMNTS	lsidyv3bb90608
015742819	HMNTS	lsidyv38a37a0f
015742820	HMNTS	lsidyv389d6407
015742822	HMNTS	lsidyv39881e52
015742823	HMNTS	lsidyv39e37232
015742824	HMNTS	lsidyv397b9702
015742825	HMNTS	lsidyv385e940e
015742826	HMNTS	lsidyv385e8a6d
015742827	HMNTS	lsidyv385e7dce
015742828	HMNTS	lsidyv381c04d1
015742829	HMNTS	lsidyv381e40d7
015742830	HMNTS	lsidyv38995191
015742831	HMNTS	lsidyv3e446632
015742832	HMNTS	lsidyv389db81c
015742834	HMNTS	lsidyv3bb9ce8c
015742836	HMNTS	lsidyv38a22537
015742837	HMNTS	lsidyv3820a460
015742838	HMNTS	lsidyv3bb8d93c
015742839	HMNTS	lsidyv3513646e
015742840	HMNTS	lsidyv3d9954d0
015742841	HMNTS	lsidyv3bb9c9d9
015742842	HMNTS	lsidyv3bb9cdc9
015742843	HMNTS	lsidyv3e701028
015742844	HMNTS	lsidyv38ebd744
015742845	HMNTS	lsidyv38ebfd51
015742846	HMNTS	lsidyv38ec0ef1
015742847	HMNTS	lsidyv3cb6afb2
015742848	HMNTS	lsidyv3176a649
015742849	HMNTS	lsidyv3e5fe465
015742850	HMNTS	lsidyv389fd725
015742851	HMNTS	lsidyv389e4e3f
015742908	HMNTS	lsidyv38202a21
015742909	HMNTS	lsidyv381d2299
015742910	HMNTS	lsidyv385d68cf
015742911	HMNTS	lsidyv381ceceb
015742912	HMNTS	lsidyv3d81eb52
015742913	HMNTS	lsidyv38a287c7
015742914	HMNTS	lsidyv38a1c885
015742915	HMNTS	lsidyv38205d22
015742916	HMNTS	lsidyv35329ee0
015742917	HMNTS	lsidyv38a33c3a
015742918	HMNTS	lsidyv3e6f9f7e
015742919	HMNTS	lsidyv389cd148
015742920	HMNTS	lsidyv381cc8f2
015742921	HMNTS	lsidyv38a313b5
015742922	HMNTS	lsidyv3e6c6e67
015742923	HMNTS	lsidyv381def9a
015742924	HMNTS	lsidyv381cbbd5
015742925	HMNTS	lsidyv381f2f33
015742926	HMNTS	lsidyv381d86f8
015742927	HMNTS	lsidyv381d4221
015742928	HMNTS	lsidyv381ce172
015742929	HMNTS	lsidyv3e68f109
015742930	HMNTS	lsidyv381d6595
015742931	HMNTS	lsidyv2afce743
015742932	HMNTS	lsidyv3898779a
015742933	HMNTS	lsidyv38a0df3f
015742934	HMNTS	lsidyv381af76b
015742935	HMNTS	lsidyv35138dcc
015742936	HMNTS	lsidyv38210ad6
015742937	HMNTS	lsidyv3e4ffabe
015742938	HMNTS	lsidyv389ff24f
015742939	HMNTS	lsidyv389e3dd0
015742940	HMNTS	lsidyv3e714cb7
015742943	HMNTS	lsidyv38a2a551
015742944	HMNTS	lsidyv39c32444
015742945	HMNTS	lsidyv39c13baf
015742946	HMNTS	lsidyv38a2b060
015742947	HMNTS	lsidyv3e6c8aae
015742948	HMNTS	lsidyv3ca38433
015742949	HMNTS	lsidyv38a26ca9
015742952	HMNTS	lsidyv38a15987
015742953	HMNTS	lsidyv38a29a08
015742954	HMNTS	lsidyv3179f554
015742955	HMNTS	lsidyv3e6d1db4
015742956	HMNTS	lsidyv381e778b
015742957	HMNTS	lsidyv38041862
015742958	HMNTS	lsidyv3a25ebea
015742959	HMNTS	lsidyv381b0577
015742960	HMNTS	lsidyv381d05ef
015742961	HMNTS	lsidyv3821186b
015742962	HMNTS	lsidyv35031ba5
015742963	HMNTS	lsidyv38a1a174
015742964	HMNTS	lsidyv3e644b4f
015742965	HMNTS	lsidyv35095ae2
015742966	HMNTS	lsidyv381f67e3
015742967	HMNTS	lsidyv3d9c5d14
015742968	HMNTS	lsidyv3d9de81d
015742969	HMNTS	lsidyv381ecaf2
015742970	HMNTS	lsidyv3818d15c
015742971	HMNTS	lsidyv3e2cf4b0
015742972	HMNTS	lsidyv381ba9f2
015742973	HMNTS	lsidyv381b4d80
015742974	HMNTS	lsidyv3e6014e3
015742980	HMNTS	lsidyv381b9a33
015742981	HMNTS	lsidyv381d5705
015742982	HMNTS	lsidyv3d7d2535
015742983	HMNTS	lsidyv3bb9193f
015742984	HMNTS	lsidyv3bb9ee8b
015742985	HMNTS	lsidyv3bb911a1
015742986	HMNTS	lsidyv389e755f
015742987	HMNTS	lsidyv389edef7
015742988	HMNTS	lsidyv38a23941
015742989	HMNTS	lsidyv39c2f40a
015742990	HMNTS	lsidyv389dcc7a
015742991	HMNTS	lsidyv389dbfc9
015742992	HMNTS	lsidyv381cd97b
015742993	HMNTS	lsidyv381dc161
015742994	HMNTS	lsidyv3c76b724
015742995	HMNTS	lsidyv3bb92098
015742996	HMNTS	lsidyv39b3f5b8
015742998	HMNTS	lsidyv32c5648f
015742999	HMNTS	lsidyv3c60894c
015743000	HMNTS	lsidyv35134c56
015743001	HMNTS	lsidyv381b48af
015743002	HMNTS	lsidyv38a1fe3e
015743008	HMNTS	lsidyv39c6c42a
015743009	HMNTS	lsidyv381c93f9
015743010	HMNTS	lsidyv381e1550
015743011	HMNTS	lsidyv381ed013
015743012	HMNTS	lsidyv38204742
015743013	HMNTS	lsidyv381c98fc
015743014	HMNTS	lsidyv38206943
015743015	HMNTS	lsidyv3820b89a
015743016	HMNTS	lsidyv3e608e60
015743017	HMNTS	lsidyv381f04e0
015743018	HMNTS	lsidyv3e5ff9f8
015743019	HMNTS	lsidyv381b0f2c
015743020	HMNTS	lsidyv381e20f9
015743021	HMNTS	lsidyv3bb8ede9
015743022	HMNTS	lsidyv39645247
015743092	HMNTS	lsidyv389eb06b
015743094	HMNTS	lsidyv3d9ad59d
015743095	HMNTS	lsidyv381d318c
015743096	HMNTS	lsidyv3178a516
015743097	HMNTS	lsidyv389ffc36
015743098	HMNTS	lsidyv38a2f315
015743099	HMNTS	lsidyv381e5167
015743100	HMNTS	lsidyv381e0c15
015743101	HMNTS	lsidyv381d121c
015743102	HMNTS	lsidyv382126c2
015743103	HMNTS	lsidyv3c6eb15d
015743104	HMNTS	lsidyv3062a632
015743105	HMNTS	lsidyv381ad8ca
015743106	HMNTS	lsidyv389da876
015743111	HMNTS	lsidyv38a35194
015743112	HMNTS	lsidyv381bb02b
015743122	HMNTS	lsidyv39f14ac1
015743123	HMNTS	lsidyv38eb9c9a
015743124	HMNTS	lsidyv3908eebb
015743125	HMNTS	lsidyv38a05c27
015743126	HMNTS	lsidyv3bb91bdf
015743127	HMNTS	lsidyv3bb9b077
015743130	HMNTS	lsidyv381e07e0
015743131	HMNTS	lsidyv389e41b9
015743132	HMNTS	lsidyv389e19d6
015743133	HMNTS	lsidyv381deaeb
015246244	HMNTS	lsidyv2ea0a0d1
015246245	HMNTS	lsidyv2ea1ecff
015246246	HMNTS	lsidyv2e9f5636
015246247	HMNTS	lsidyv2ea1e666
015246248	HMNTS	lsidyv2ea29cec
015246249	HMNTS	lsidyv2e9ff974
015246250	HMNTS	lsidyv2ea13b66
015246251	HMNTS	lsidyv2e9fd959
015246252	HMNTS	lsidyv2e9f73e7
015246253	HMNTS	lsidyv2ea36edf
015246254	HMNTS	lsidyv2ea12ac3
015246255	HMNTS	lsidyv2ea301ff
015246256	HMNTS	lsidyv2ea2afc1
015246257	HMNTS	lsidyv2ea0e0f6
015246258	HMNTS	lsidyv2e9fe542
015246259	HMNTS	lsidyv2ea2e94c
015246260	HMNTS	lsidyv2ea18e61
015246261	HMNTS	lsidyv2ea197e6
015246262	HMNTS	lsidyv2ea1b97f
015246263	HMNTS	lsidyv2e9fbafa
015246264	HMNTS	lsidyv2e9fc452
015246265	HMNTS	lsidyv2ea2d6e1
015246266	HMNTS	lsidyv2e9f67e3
015246267	HMNTS	lsidyv2ea52dfd
015246268	HMNTS	lsidyv2ea39737
015246269	HMNTS	lsidyv2e9f6d12
015246270	HMNTS	lsidyv2e9fd11b
015246271	HMNTS	lsidyv2ea0993c
015246272	HMNTS	lsidyv2ea2f468
015246273	HMNTS	lsidyv2ea46445
015246274	HMNTS	lsidyv2ea3bacf
015246275	HMNTS	lsidyv2ea0a9d7
015246276	HMNTS	lsidyv2ea2dbe4
015246277	HMNTS	lsidyv2ea1aa48
015246278	HMNTS	lsidyv2ea41a56
015246279	HMNTS	lsidyv2ea454ef
015246280	HMNTS	lsidyv2e9fa5db
015246281	HMNTS	lsidyv2ea0b19c
015246282	HMNTS	lsidyv2ea1c510
015246283	HMNTS	lsidyv2ea0fbdc
015246284	HMNTS	lsidyv2ea3d3a2
015246285	HMNTS	lsidyv2ea5e914
015246286	HMNTS	lsidyv2ea4daea
015246287	HMNTS	lsidyv2ea34324
015246288	HMNTS	lsidyv2ea1a519
015246289	HMNTS	lsidyv2ea15e75
015246290	HMNTS	lsidyv2ea1fcf6
015246291	HMNTS	lsidyv2ea08a5e
015246292	HMNTS	lsidyv2ea14b69
015246293	HMNTS	lsidyv2ea60c49
015246294	HMNTS	lsidyv2ea231fd
015246295	HMNTS	lsidyv2ea3b2fd
015246296	HMNTS	lsidyv2ea314f7
015246297	HMNTS	lsidyv2ea3a03e
015246298	HMNTS	lsidyv2ea4ec87
015246299	HMNTS	lsidyv2e9fb1cb
015246300	HMNTS	lsidyv2ea35fd0
015246301	HMNTS	lsidyv2ea30b5d
015246302	HMNTS	lsidyv2ea1200a
015246303	HMNTS	lsidyv2ea2ced2
015246304	HMNTS	lsidyv2ea5f896
015246305	HMNTS	lsidyv2ea47af4
015246306	HMNTS	lsidyv2e9f7df9
015246307	HMNTS	lsidyv2ea0066b
015246308	HMNTS	lsidyv2e9f97c9
015246309	HMNTS	lsidyv2ea4cf45
015246310	HMNTS	lsidyv2ea49b94
015246311	HMNTS	lsidyv2ea4bd3a
015246312	HMNTS	lsidyv2ea0c61a
015246313	HMNTS	lsidyv2ea06832
